Stats of reconstructed arrays at lod: 6
        RMS: 0.00165752, max error: 0.0128367
        RMS: 0.00153295, max error: 0.0125204
        RMS: 0.00142674, max error: 0.0107615
        RMS: 0.00136587, max error: 0.0107904
        RMS: 0.00132154, max error: 0.0101999
        RMS: 0.00127914, max error: 0.0100089
        RMS: 0.00124139, max error: 0.0102804
        RMS: 0.00120726, max error: 0.00911641
        RMS: 0.00119054, max error: 0.00951195
        RMS: 0.00115899, max error: 0.00926405
        RMS: 0.00110123, max error: 0.00800031
        RMS: 0.00104633, max error: 0.00836909
        RMS: 0.000982802, max error: 0.00754452
        RMS: 0.000939542, max error: 0.00739336
        RMS: 0.000851074, max error: 0.00710426
        RMS: 0.000785924, max error: 0.00617564
Stats of arrays using timer interval compression at lod: 6
        RMS: 0.294033, max error: 3.90113
        RMS: 0.288008, max error: 3.67433
        RMS: 0.289641, max error: 3.72182
        RMS: 0.299344, max error: 4.38883
        RMS: 0.308083, max error: 4.08026
        RMS: 0.30148, max error: 3.90802
        RMS: 0.306196, max error: 3.75275
        RMS: 0.31422, max error: 4.21719
        RMS: 0.312739, max error: 4.40726
        RMS: 0.30352, max error: 3.20664
        RMS: 0.302425, max error: 3.34256
        RMS: 0.30635, max error: 3.69207
        RMS: 0.306285, max error: 3.76106
        RMS: 0.29809, max error: 3.81104
        RMS: 0.299906, max error: 4.22956
        RMS: 0.297302, max error: 3.6881


Stats of reconstructed arrays at lod: 5
        RMS: 0.00831152, max error: 0.078848
        RMS: 0.00747728, max error: 0.0674925
        RMS: 0.00695092, max error: 0.0638785
        RMS: 0.00661832, max error: 0.0617973
        RMS: 0.00631647, max error: 0.0609286
        RMS: 0.0060638, max error: 0.0555918
        RMS: 0.00584718, max error: 0.055241
        RMS: 0.00571934, max error: 0.0522016
        RMS: 0.00564417, max error: 0.0512739
        RMS: 0.00551376, max error: 0.0493901
        RMS: 0.00532961, max error: 0.0491415
        RMS: 0.00509717, max error: 0.0486303
        RMS: 0.00484736, max error: 0.0425112
        RMS: 0.00460907, max error: 0.0432993
        RMS: 0.00429613, max error: 0.0421236
        RMS: 0.0039833, max error: 0.035682
Stats of arrays using timer interval compression at lod: 5
        RMS: 0.358525, max error: 35.6412
        RMS: 0.33763, max error: 34.6294
        RMS: 0.326139, max error: 73.18
        RMS: 0.323374, max error: 18.9906
        RMS: 0.328578, max error: 20.9203
        RMS: 0.318724, max error: 12.0786
        RMS: 0.320572, max error: 12.0803
        RMS: 0.328776, max error: 11.2848
        RMS: 0.326073, max error: 11.3413
        RMS: 0.31877, max error: 16.4841
        RMS: 0.316597, max error: 10.8063
        RMS: 0.319765, max error: 14.0021
        RMS: 0.321263, max error: 13.2646
        RMS: 0.315667, max error: 13.8501
        RMS: 0.319699, max error: 22.7765
        RMS: 0.330026, max error: 56.1154 


Stats of reconstructed arrays at lod: 4
        RMS: 0.027519, max error: 0.333537
        RMS: 0.0245778, max error: 0.298151
        RMS: 0.0229047, max error: 0.234572
        RMS: 0.0216765, max error: 0.233936
        RMS: 0.0205437, max error: 0.21599
        RMS: 0.0196398, max error: 0.204463
        RMS: 0.0188661, max error: 0.222479
        RMS: 0.0185833, max error: 0.208425
        RMS: 0.0184195, max error: 0.202729
        RMS: 0.0181176, max error: 0.187065
        RMS: 0.0176462, max error: 0.207941
        RMS: 0.0169765, max error: 0.178765
        RMS: 0.0163164, max error: 0.170056
        RMS: 0.0155858, max error: 0.158615
        RMS: 0.0148726, max error: 0.148263
        RMS: 0.013926, max error: 0.162901
Stats of arrays using timer interval compression at lod: 4
        RMS: 0.399644, max error: 34.5807
        RMS: 0.369137, max error: 34.84
        RMS: 0.352598, max error: 78.554
        RMS: 0.343142, max error: 23.613
        RMS: 0.344255, max error: 23.8601
        RMS: 0.330832, max error: 20.1138
        RMS: 0.330156, max error: 14.4646
        RMS: 0.33739, max error: 12.4508
        RMS: 0.335243, max error: 20.1859
        RMS: 0.330574, max error: 23.8021
        RMS: 0.327253, max error: 19.2575
        RMS: 0.330438, max error: 18.6531
        RMS: 0.333433, max error: 26.4822
        RMS: 0.328081, max error: 22.7397
        RMS: 0.332298, max error: 24.0953
        RMS: 0.341569, max error: 55.7794


Stats of reconstructed arrays at lod: 3
        RMS: 0.0676012, max error: 0.814122
        RMS: 0.0600646, max error: 0.807817
        RMS: 0.0557218, max error: 0.664309
        RMS: 0.0527631, max error: 0.634727
        RMS: 0.0498632, max error: 0.607175
        RMS: 0.0475721, max error: 0.616343
        RMS: 0.0456231, max error: 0.551847
        RMS: 0.0449995, max error: 0.506215
        RMS: 0.0446592, max error: 0.508935
        RMS: 0.0440585, max error: 0.527204
        RMS: 0.0431054, max error: 0.533128
        RMS: 0.0417594, max error: 0.48447
        RMS: 0.0404186, max error: 0.533776
        RMS: 0.0390195, max error: 0.452809
        RMS: 0.0377983, max error: 0.513811
        RMS: 0.0358448, max error: 0.47794
Stats of arrays using timer interval compression at lod: 3
        RMS: 0.436726, max error: 55.2754
        RMS: 0.395799, max error: 42.6366
        RMS: 0.377212, max error: 73.94
        RMS: 0.365016, max error: 28.8594
        RMS: 0.362374, max error: 39.3723
        RMS: 0.345168, max error: 20.1135
        RMS: 0.342185, max error: 14.4847
        RMS: 0.346392, max error: 12.0364
        RMS: 0.346104, max error: 25.0211
        RMS: 0.34575, max error: 31.2048
        RMS: 0.341168, max error: 23.1259
        RMS: 0.341945, max error: 22.1406
        RMS: 0.345851, max error: 34.5431
        RMS: 0.339804, max error: 22.7063
        RMS: 0.346027, max error: 24.1189
        RMS: 0.363235, max error: 55.8951


Stats of reconstructed arrays at lod: 2
        RMS: 0.135653, max error: 1.97277
        RMS: 0.12023, max error: 1.75965
        RMS: 0.111279, max error: 1.7293
        RMS: 0.105498, max error: 1.7879
